chng_type,Type,area_ha
loss,Estuary_147,1.685163966
gain,Estuary_1478,44.18527009
loss,Estuary_1478,508.1606959
gain,Estuary_151,4.564583144
loss,Estuary_151,6.830995481
gain,Estuary_154,19.34611422
loss,Estuary_154,113.8587237
gain,Estuary_1554,26.47904926
loss,Estuary_1554,92.85498768
gain,Estuary_1559,5.870859483
loss,Estuary_1559,15.41923362
gain,Estuary_156,113.8729456
loss,Estuary_156,274.4306718
gain,Estuary_1572,38.75344048
loss,Estuary_1572,171.982644
gain,Estuary_1574,19.61999976
loss,Estuary_1574,105.9150795
gain,Estuary_1580,1.736538453
loss,Estuary_1580,5.897626389
gain,Estuary_1582,23.65468753
loss,Estuary_1582,40.2016576
gain,Estuary_1583,27.45612031
loss,Estuary_1583,242.9475688
gain,Estuary_1597,116.9236051
loss,Estuary_1597,92.66762237
gain,Estuary_16,3.103434322
loss,Estuary_16,1.790929459
gain,Estuary_1632,27.71444098
loss,Estuary_1632,71.32932253
gain,Estuary_164,129.1797266
loss,Estuary_164,188.0441609
gain,Estuary_1649,14.27354713
loss,Estuary_1649,6.297287544
gain,Estuary_1667,58.18425902
loss,Estuary_1667,56.89820013
gain,Estuary_168,0.859647654
loss,Estuary_168,1.187143365
gain,Estuary_1689,18.48664762
loss,Estuary_1689,292.5825661
gain,Estuary_1700,1.921148674
loss,Estuary_1700,1.020609258
gain,Estuary_1709,1.797612679
loss,Estuary_1709,19.21412726
gain,Estuary_1719,156.2419589
loss,Estuary_1719,376.8515712
gain,Estuary_1743,304.375921
loss,Estuary_1743,447.6829982
gain,Estuary_176,7.846359054
loss,Estuary_176,9.754148557
gain,Estuary_1767,43.68275514
loss,Estuary_1767,265.6311264
gain,Estuary_1771,0.905759852
loss,Estuary_1771,30.42537676
gain,Estuary_179,4.634406526
loss,Estuary_179,1.895724286
gain,Estuary_1806,37.39279438
loss,Estuary_1806,44.66229303
gain,Estuary_1831,15.39636584
loss,Estuary_1831,1359.391546
gain,Estuary_185,1.194589639
loss,Estuary_185,0.207755712
gain,Estuary_188,17.65578271
loss,Estuary_188,7.350153511
gain,Estuary_1886,4.001242008
loss,Estuary_1886,45.94244875
gain,Estuary_19,281.94589
loss,Estuary_19,119.0175477
gain,Estuary_1900,12.95425463
loss,Estuary_1900,54.09458658
gain,Estuary_192,56.38728474
loss,Estuary_192,26.53868944
gain,Estuary_1933,0.603612855
loss,Estuary_1933,2.22503103
gain,Estuary_1938,8.512906637
loss,Estuary_1938,46.52826783
gain,Estuary_194,6.471419976
loss,Estuary_194,1.572065213
gain,Estuary_1947,13.41742589
loss,Estuary_1947,73.40678173
gain,Estuary_1954,0.240564587
loss,Estuary_1954,10.68831861
gain,Estuary_197,8.615946982
loss,Estuary_197,4.571436851
gain,Estuary_2015,139.138116
loss,Estuary_2015,333.0203499
gain,Estuary_2017,14.43803052
loss,Estuary_2017,63.4304342
gain,Estuary_2031,755.280406
loss,Estuary_2031,700.3820201
gain,Estuary_2033,1.765574301
loss,Estuary_2033,62.46759547
gain,Estuary_2036,32.19309496
loss,Estuary_2036,19.76115446
gain,Estuary_2055,163.009986
loss,Estuary_2055,185.3082052
gain,Estuary_2071,0.301193635
loss,Estuary_2071,59.99070968
gain,Estuary_2075,30.8486824
loss,Estuary_2075,137.7087834
gain,Estuary_208,58.83059142
loss,Estuary_208,27.16579939
gain,Estuary_2104,41.00350906
loss,Estuary_2104,225.1470632
gain,Estuary_2106,43.94762491
loss,Estuary_2106,85.77239557
gain,Estuary_2112,14.44543523
